id,customer_id,product_id,product_type,order_id,price,quantity,timestamp
1,1003724,2994876,shoes,10001,128.47,1,2017-11-24 23:06:49
2,1001466,334615,accessory,10002,76.04,1,2017-11-25 01:28:51
3,10009,1993958,toy,10003,33.82,1,2017-11-25 02:31:40
4,1002526,3172409,electronic,10004,653.47,1,2017-11-25 02:40:35
5,1001326,1864005,electronic,10005,967.96,1,2017-11-25 02:44:50
6,1000792,934383,sport_equipment,10006,12.07,1,2017-11-25 03:40:07
7,1004584,3544246,accessory,10007,13.94,1,2017-11-25 03:45:52
8,1001466,1257002,accessory,10008,75.32,1,2017-11-25 03:51:42
9,1002185,5108025,book,10009,13.28,1,2017-11-25 06:42:58
10,1000228,2730342,sport_equipment,10010,87.0,1,2017-11-25 06:51:24
11,1001145,2659396,sport_equipment,10011,9.1,1,2017-11-25 06:54:43
12,1005284,1415285,sport_equipment,10012,47.31,1,2017-11-25 07:51:28
13,1004584,3771578,food,10013,25.22,1,2017-11-25 10:59:49
14,1005616,3754986,food,10014,5.57,1,2017-11-25 11:28:28
15,1005616,2457004,sport_equipment,10015,17.32,1,2017-11-25 11:29:47
16,1005616,461740,book,10016,18.72,1,2017-11-25 11:42:26
17,1000723,1679779,clothes,10017,26.63,1,2017-11-25 13:03:11
18,1003724,4697569,accessory,10018,29.06,1,2017-11-25 13:22:46
19,1003351,855191,cosmetic,10019,81.81,1,2017-11-25 14:53:10
20,1000792,174758,sport_equipment,10020,11.54,1,2017-11-25 16:17:47
21,1001472,3485113,toy,10021,40.81,1,2017-11-25 23:25:57
22,1001472,1971928,electronic,10022,721.92,1,2017-11-25 23:25:57
23,1000222,2397544,book,10023,17.65,1,2017-11-26 00:25:05
24,1002909,475913,food,10024,27.51,1,2017-11-26 02:27:12
25,10009,37314,shoes,10025,104.95,1,2017-11-26 03:33:52
26,1002589,2499287,book,10026,38.19,1,2017-11-26 03:54:19
27,1002307,743380,accessory,10027,19.8,1,2017-11-26 09:08:59
28,1005616,2553889,accessory,10028,32.43,1,2017-11-26 09:59:35
29,1001199,1053132,shoes,10029,64.52,1,2017-11-26 12:15:39
