id,product_id,name,price_override,stock,sku,image_url,is_active,options
1,10034,Size M,55.92,35,10034-VAR1,https://images.example.com/variants/10034-VAR1.jpg,True,"{""Size"": ""M""}"
2,10034,Size L,55.92,56,10034-VAR2,https://images.example.com/variants/10034-VAR2.jpg,True,"{""Size"": ""L""}"
3,18309,Standard Size,74.71,55,18309-VAR1,https://images.example.com/variants/18309-VAR1.jpg,True,"{""Size"": ""Standard""}"
4,21762,Standard Size,173.53,39,21762-VAR1,https://images.example.com/variants/21762-VAR1.jpg,True,"{""Size"": ""Standard""}"
5,23239,Standard Size,122.95,35,23239-VAR1,https://images.example.com/variants/23239-VAR1.jpg,True,"{""Size"": ""Standard""}"
6,28356,Paperback Edition,35.77,78,28356-VAR1,https://images.example.com/variants/28356-VAR1.jpg,True,"{""Format"": ""Paperback""}"
7,28356,Hardcover Special,39.35,80,28356-VAR2,https://images.example.com/variants/28356-VAR2.jpg,True,"{""Format"": ""Hardcover""}"
8,37314,Size M,104.95,74,37314-VAR1,https://images.example.com/variants/37314-VAR1.jpg,True,"{""Size"": ""M""}"
9,37314,Size L,104.95,78,37314-VAR2,https://images.example.com/variants/37314-VAR2.jpg,True,"{""Size"": ""L""}"
10,38891,Standard Size,7.8,54,38891-VAR1,https://images.example.com/variants/38891-VAR1.jpg,True,"{""Size"": ""Standard""}"
11,44202,Standard Size,177.48,78,44202-VAR1,https://images.example.com/variants/44202-VAR1.jpg,True,"{""Size"": ""Standard""}"
12,49781,Size M,16.7,17,49781-VAR1,https://images.example.com/variants/49781-VAR1.jpg,True,"{""Size"": ""M""}"
13,49781,Size L,16.7,26,49781-VAR2,https://images.example.com/variants/49781-VAR2.jpg,True,"{""Size"": ""L""}"
14,64810,Standard Size,72.31,65,64810-VAR1,https://images.example.com/variants/64810-VAR1.jpg,True,"{""Size"": ""Standard""}"
15,81069,Standard Size,308.33,79,81069-VAR1,https://images.example.com/variants/81069-VAR1.jpg,True,"{""Size"": ""Standard""}"
16,84698,Standard Size,47.23,73,84698-VAR1,https://images.example.com/variants/84698-VAR1.jpg,True,"{""Size"": ""Standard""}"
17,91877,Standard Size,81.09,45,91877-VAR1,https://images.example.com/variants/91877-VAR1.jpg,True,"{""Size"": ""Standard""}"
18,108408,Paperback Edition,31.76,42,108408-VAR1,https://images.example.com/variants/108408-VAR1.jpg,True,"{""Format"": ""Paperback""}"
19,108408,Hardcover Special,34.94,60,108408-VAR2,https://images.example.com/variants/108408-VAR2.jpg,True,"{""Format"": ""Hardcover""}"
20,116741,Standard Size,372.52,21,116741-VAR1,https://images.example.com/variants/116741-VAR1.jpg,True,"{""Size"": ""Standard""}"
21,122092,Standard Size,196.43,21,122092-VAR1,https://images.example.com/variants/122092-VAR1.jpg,True,"{""Size"": ""Standard""}"
22,126664,Standard Black,960.53,51,126664-VAR1,https://images.example.com/variants/126664-VAR1.jpg,True,"{""Color"": ""Black""}"
23,126664,Premium Silver,1056.58,78,126664-VAR2,https://images.example.com/variants/126664-VAR2.jpg,True,"{""Color"": ""Silver""}"
24,127953,Standard Size,14.61,75,127953-VAR1,https://images.example.com/variants/127953-VAR1.jpg,True,"{""Size"": ""Standard""}"
25,130217,Standard Size,14.09,51,130217-VAR1,https://images.example.com/variants/130217-VAR1.jpg,True,"{""Size"": ""Standard""}"
26,139496,Standard Black,642.75,16,139496-VAR1,https://images.example.com/variants/139496-VAR1.jpg,True,"{""Color"": ""Black""}"
27,139496,Premium Silver,707.03,28,139496-VAR2,https://images.example.com/variants/139496-VAR2.jpg,True,"{""Color"": ""Silver""}"
28,140359,Standard Size,73.59,70,140359-VAR1,https://images.example.com/variants/140359-VAR1.jpg,True,"{""Size"": ""Standard""}"
29,143281,Standard Size,16.73,32,143281-VAR1,https://images.example.com/variants/143281-VAR1.jpg,True,"{""Size"": ""Standard""}"
30,144409,Standard Size,113.02,48,144409-VAR1,https://images.example.com/variants/144409-VAR1.jpg,True,"{""Size"": ""Standard""}"
31,162442,Standard Black,845.63,61,162442-VAR1,https://images.example.com/variants/162442-VAR1.jpg,True,"{""Color"": ""Black""}"
32,162442,Premium Silver,930.19,66,162442-VAR2,https://images.example.com/variants/162442-VAR2.jpg,True,"{""Color"": ""Silver""}"
33,164553,Standard Black,88.23,61,164553-VAR1,https://images.example.com/variants/164553-VAR1.jpg,True,"{""Color"": ""Black""}"
34,164553,Premium Silver,97.05,20,164553-VAR2,https://images.example.com/variants/164553-VAR2.jpg,True,"{""Color"": ""Silver""}"
