id,customer_id,product_id,product_type,session_id,timestamp
1,1000636,2579386,food,session_1000636_419872,2017-11-24 16:08:25
2,1000084,4474837,shoes,session_1000084_419872,2017-11-24 16:58:59
3,1005649,4415159,book,session_1005649_419877,2017-11-24 21:24:41
4,1000349,2831190,furniture,session_1000349_419878,2017-11-24 22:56:04
5,1005712,2846720,sport_equipment,session_1005712_419879,2017-11-24 23:03:08
6,1005712,221387,toy,session_1005712_419879,2017-11-24 23:04:25
7,1003724,3012053,shoes,session_1003724_419879,2017-11-24 23:05:24
8,1000349,3523128,electronic,session_1000349_419879,2017-11-24 23:07:48
9,1002909,832994,toy,session_1002909_419879,2017-11-24 23:51:24
10,1001566,1464478,furniture,session_1001566_419879,2017-11-24 23:56:11
11,1001566,1113979,furniture,session_1001566_419880,2017-11-25 00:03:33
12,1005498,4028523,shoes,session_1005498_419881,2017-11-25 01:01:02
13,1001466,4275288,cosmetic,session_1001466_419881,2017-11-25 01:24:42
14,1005616,4895295,book,session_1005616_419881,2017-11-25 01:39:05
15,1005616,3855288,book,session_1005616_419881,2017-11-25 01:40:03
16,1005616,461740,book,session_1005616_419881,2017-11-25 01:40:30
17,1005616,455385,furniture,session_1005616_419881,2017-11-25 01:41:04
18,1005616,1152335,furniture,session_1005616_419881,2017-11-25 01:41:31
19,1000222,140359,cosmetic,session_1000222_419881,2017-11-25 01:53:34
20,10009,349984,accessory,session_10009_419882,2017-11-25 02:02:03
21,1002927,2256042,accessory,session_1002927_419882,2017-11-25 02:08:38
22,1001419,816139,food,session_1001419_419882,2017-11-25 02:44:17
23,1005074,2737657,electronic,session_1005074_419882,2017-11-25 02:56:55
24,1002927,4718062,furniture,session_1002927_419883,2017-11-25 03:19:25
25,1002927,2410985,furniture,session_1002927_419883,2017-11-25 03:23:14
26,1002927,4333868,food,session_1002927_419883,2017-11-25 03:26:29
27,1001466,2517919,accessory,session_1001466_419883,2017-11-25 03:39:04
28,1001466,5026955,accessory,session_1001466_419883,2017-11-25 03:41:05
29,1002526,2930862,cosmetic,session_1002526_419883,2017-11-25 03:46:23
30,1002526,870595,book,session_1002526_419883,2017-11-25 03:48:20
31,1001326,870086,furniture,session_1001326_419885,2017-11-25 05:52:55
32,1001326,2255678,furniture,session_1001326_419885,2017-11-25 05:59:27
33,1001326,4399600,furniture,session_1001326_419886,2017-11-25 06:01:23
34,1000228,2730342,sport_equipment,session_1000228_419886,2017-11-25 06:12:58
35,1003351,855191,cosmetic,session_1003351_419886,2017-11-25 06:59:46
36,1001145,1089711,sport_equipment,session_1001145_419887,2017-11-25 07:00:36
37,1002185,2192947,furniture,session_1002185_419887,2017-11-25 07:02:52
38,1002185,5134300,furniture,session_1002185_419887,2017-11-25 07:12:38
39,1001326,873997,sport_equipment,session_1001326_419887,2017-11-25 07:14:12
40,1001326,116741,furniture,session_1001326_419887,2017-11-25 07:34:00
41,1002185,282801,furniture,session_1002185_419888,2017-11-25 08:19:06
42,1000349,4350284,electronic,session_1000349_419888,2017-11-25 08:24:36
43,1002185,2604550,furniture,session_1002185_419888,2017-11-25 08:50:14
