id,customer_id,product_id,product_type,action_type,quantity,price,timestamp
1,1003724,3227505,clothes,add,1,38.51,2017-11-24 23:29:58
2,1000222,2707677,toy,add,1,42.36,2017-11-25 00:29:21
3,1005498,4593774,book,add,1,25.64,2017-11-25 01:13:34
4,1003901,1292667,shoes,add,1,92.05,2017-11-25 03:16:31
5,1001466,5066336,accessory,add,1,8.98,2017-11-25 03:46:53
6,1002927,2961116,food,add,1,79.13,2017-11-25 04:20:53
7,1001326,931499,clothes,add,1,50.9,2017-11-25 07:04:49
8,1003351,435998,book,add,1,38.16,2017-11-25 07:32:48
9,1003724,1447844,clothes,add,1,32.39,2017-11-25 08:15:44
10,1002909,1290730,book,add,1,22.95,2017-11-25 09:44:05
11,1000228,2285833,book,add,1,31.47,2017-11-25 11:32:28
12,1005832,4907953,toy,add,1,9.12,2017-11-25 12:56:15
13,1000084,3713574,food,add,1,62.68,2017-11-25 13:12:29
14,1000228,2749663,furniture,add,1,445.61,2017-11-25 13:29:32
15,1001472,4762058,sport_equipment,add,1,61.09,2017-11-25 13:29:53
16,1000228,4706681,furniture,add,1,179.57,2017-11-25 13:53:12
17,1005498,18309,toy,add,1,74.71,2017-11-25 14:12:52
18,1005498,4257870,toy,add,1,91.29,2017-11-25 14:14:52
19,1003716,3664433,electronic,add,1,193.14,2017-11-25 14:17:01
20,1005498,3355149,toy,add,1,60.35,2017-11-25 14:26:38
21,1005498,1708839,toy,add,1,49.21,2017-11-25 14:27:52
22,10009,4945859,food,add,1,31.89,2017-11-25 14:46:49
23,1001915,191098,sport_equipment,add,1,83.41,2017-11-25 15:10:06
24,1002185,1572510,furniture,add,1,456.18,2017-11-25 15:14:33
25,1002927,1871881,furniture,add,1,404.57,2017-11-25 16:53:18
26,1005712,5045806,food,add,1,14.64,2017-11-25 19:04:06
27,1001472,4384782,book,add,1,21.7,2017-11-25 22:58:49
28,1001915,1795671,sport_equipment,add,1,23.64,2017-11-25 23:34:59
29,1000222,1565910,book,add,1,25.38,2017-11-26 00:29:02
30,1001326,783373,sport_equipment,add,1,33.2,2017-11-26 01:37:27
31,1000084,1659199,food,add,1,45.29,2017-11-26 03:03:19
32,1004584,3605657,sport_equipment,add,1,13.76,2017-11-26 04:09:00
33,1001326,1972955,electronic,add,1,525.46,2017-11-26 04:20:58
34,1001326,4702796,electronic,add,1,647.38,2017-11-26 04:23:30
35,1000222,744823,sport_equipment,add,1,12.53,2017-11-26 04:50:11
36,1003249,1132150,toy,add,1,8.6,2017-11-26 04:58:04
37,1003249,3769173,toy,add,1,64.52,2017-11-26 04:59:29
38,1002307,4112244,sport_equipment,add,1,23.54,2017-11-26 05:06:13
39,1000222,3461725,sport_equipment,add,1,35.28,2017-11-26 05:19:22
