1000636,2579386,3231625,pv,1511539705
1000084,4474837,144028,pv,1511542739
1005649,4415159,2885642,pv,1511558681
1000349,2831190,886203,pv,1511564164
1005712,2846720,3451327,pv,1511564588
1005712,221387,796856,pv,1511564665
1003724,3012053,2983928,pv,1511564724
1003724,2994876,2983928,buy,1511564809
1000349,3523128,634390,pv,1511564868
1003724,3227505,1249761,cart,1511566198
1002909,832994,1505776,pv,1511567484
1001566,1464478,1320293,pv,1511567771
1001566,1113979,1320293,pv,1511568213
1000222,2707677,2465336,cart,1511569761
1005498,4028523,2640118,pv,1511571662
1005498,4593774,3598912,cart,1511572414
1001466,4275288,2558244,pv,1511573082
1001466,334615,922189,buy,1511573331
1005616,4895295,1004392,pv,1511573945
1005616,3855288,1004392,pv,1511574003
1005616,461740,1004392,pv,1511574030
1005616,455385,1842993,pv,1511574064
1005616,1152335,1842993,pv,1511574091
1000222,140359,1526484,pv,1511574814
10009,349984,4793839,pv,1511575323
1002927,2256042,383749,pv,1511575718
10009,1993958,2321836,buy,1511577100
1002526,3172409,4042890,buy,1511577635
1001419,816139,3876855,pv,1511577857
1001326,1864005,1299190,buy,1511577890
1005074,2737657,381850,pv,1511578615
1003901,1292667,4700878,cart,1511579791
1002927,4718062,4834913,pv,1511579965
1002927,2410985,3323023,pv,1511580194
1002927,4333868,1151115,pv,1511580389
1001466,2517919,3604509,pv,1511581144
1000792,934383,4672807,buy,1511581207
1001466,5026955,3604509,pv,1511581265
1004584,3544246,2774299,buy,1511581552
1002526,2930862,737184,pv,1511581583
1001466,5066336,3604509,cart,1511581613
1002526,870595,2355072,pv,1511581700
1001466,1257002,3604509,buy,1511581902
1002927,2961116,2579035,cart,1511583653
1001326,870086,4145813,pv,1511589175
1001326,2255678,4145813,pv,1511589567
1001326,4399600,983613,pv,1511589683
1000228,2730342,1046047,pv,1511590378
1002185,5108025,721242,buy,1511592178
1000228,2730342,1046047,buy,1511592684
1001145,2659396,1457367,buy,1511592883
1003351,855191,238434,pv,1511593186
1001145,1089711,1457367,pv,1511593236
1002185,2192947,285583,pv,1511593372
1001326,931499,3002561,cart,1511593489
1002185,5134300,285583,pv,1511593958
1001326,873997,1568197,pv,1511594052
1003351,435998,1884322,cart,1511595168
1001326,116741,983613,pv,1511595240
1005284,1415285,4868797,buy,1511596288
1003724,1447844,4181361,cart,1511597744
1002185,282801,285583,pv,1511597946
1000349,4350284,4069500,pv,1511598276
1002185,2604550,285583,pv,1511599814
1002185,3152278,285583,pv,1511599822
1002909,738249,1505776,pv,1511601525
1002909,1290730,2419332,cart,1511603045
1004337,3692127,2228184,pv,1511605914
1004584,3771578,85955,buy,1511607589
1005616,3754986,3865465,buy,1511609308
1005616,2457004,2217187,buy,1511609387
1000228,2285833,4339722,cart,1511609548
1005616,461740,1004392,buy,1511610146
1000228,494417,323851,pv,1511611808
1004096,1389713,564681,pv,1511612649
1000636,632660,2786875,pv,1511613043
1004096,4350170,1090997,pv,1511613853
1005832,4907953,982926,cart,1511614575
1000228,1312452,3059103,pv,1511614583
1005832,4956419,1320293,pv,1511614705
1000723,1679779,2466971,buy,1511614991
1000084,3713574,4756105,cart,1511615549
1000084,2441285,4801426,pv,1511616030
1003724,4697569,903809,buy,1511616166
1000228,765808,4138583,pv,1511616482
1000228,2749663,1331853,cart,1511616572
1001472,4762058,3747017,cart,1511616593
1000228,2452738,2476560,pv,1511616713
1000228,4706681,4138583,cart,1511617992
1003716,4650889,2737340,pv,1511619095
1005498,18309,3351726,cart,1511619172
1005498,4257870,3351726,cart,1511619292
1003716,3664433,2737340,cart,1511619421
1005498,3355149,3351726,cart,1511619998
1005498,1708839,3351726,cart,1511620072
1005498,3355149,3351726,pv,1511620292
1000228,2624906,1331853,pv,1511620318
1003716,542973,2737340,pv,1511620900
10009,4945859,874415,cart,1511621209
1003716,300430,2737340,pv,1511621220
1003716,2385268,2737340,pv,1511621320
1003716,786458,2737340,pv,1511621443
1003351,855191,238434,buy,1511621590
1003716,2701204,2737340,pv,1511622148
1001915,191098,1216617,cart,1511622606
1002185,1572510,285583,cart,1511622873
1001915,2875418,1216617,pv,1511622977
1000792,174758,4672807,buy,1511626667
1000636,2633450,2344159,pv,1511627459
1002927,791770,411153,pv,1511628536
1002927,500641,411153,pv,1511628625
1002927,1871881,411153,cart,1511628798
1005712,5045806,3738615,cart,1511636646
1005712,4888516,2640118,pv,1511636821
1005649,1582775,3416804,pv,1511639701
1005649,3979564,137459,pv,1511640360
1005649,644264,1798067,pv,1511640692
1005649,4830088,2196412,pv,1511641009
1005649,4771223,360294,pv,1511641132
1005649,4830088,2196412,pv,1511641142
1005649,3702766,2684959,pv,1511641666
1002185,243523,285583,pv,1511647963
1001472,4384782,3439012,cart,1511650729
1001472,3485113,1462446,buy,1511652357
1001472,1971928,1299190,buy,1511652357
1001915,1795671,1216617,cart,1511652899
1000222,2397544,2355072,buy,1511655905
1000222,1565910,2355072,cart,1511656142
1005616,3792683,2221749,pv,1511658965
1001629,559088,4595718,pv,1511659091
1004584,3057370,2735466,pv,1511659689
1004584,656911,2735466,pv,1511659742
1001326,783373,3654707,cart,1511660247
1002909,206508,1505776,pv,1511660385
1002909,738249,1505776,pv,1511660400
1000723,2840297,2872443,pv,1511661195
1002185,2991276,285583,pv,1511661668
1002909,475913,874415,buy,1511663232
1002909,1831836,721664,pv,1511663543
1001326,4637317,3002561,pv,1511663791
1000084,1659199,4756105,cart,1511665399
10009,4496731,4708262,pv,1511665486
1001326,3079068,982926,pv,1511665931
1005649,3343325,1029459,pv,1511666315
1005649,3030510,858800,pv,1511666765
10009,37314,1875258,buy,1511667232
10009,1420923,2939262,pv,1511667389
1002909,1217213,1020087,pv,1511668375
1002589,2499287,4874492,buy,1511668459
1004584,3605657,1859277,cart,1511669340
1001326,1972955,2652700,cart,1511670058
1001326,4702796,2652700,cart,1511670210
1001326,2199692,3015852,pv,1511670260
1000222,744823,2520377,cart,1511671811
1003249,420144,982926,pv,1511672080
1003249,1132150,4801426,cart,1511672284
10009,37314,1875258,pv,1511672293
